Cz,Fz,Fp1,F3,C1,C3,T7,C5,CP5,CP3,CP1,P1,P3,O1,CPz,Pz,Oz,O2,P4,P2,CP2,CP4,CP6,C6,T8,C4,C2,F4,Fp2,Label
-7.692,-0.775,-98.362,19.742,-14.206,9.805,274.617,22.248,10.591,1.67,-7.637,-18.553,-1.525,-12.505,-19.156,16.804,-2.535,-18.356,-13.171,-13.473,64.127,-9.527,-8.179,-17.814,-68.514,-11.063,-17.16,-14.111,-84.179,3
3.586,4.861,-95.19,22.797,-17.778,9.795,307.13,23.762,9.556,2.693,-7.117,-14.436,0.526,-0.71,-15.038,18.836,6.689,-3.481,-4.448,-11.923,69.186,-3.882,0.026,-9.599,-66.909,-1.83,-15.606,-5.388,-98.44,3
-1.028,2.807,-94.07,15.601,-17.761,-0.973,339.611,0.685,-0.7,-7.044,-11.721,-19.033,-5.11,2.877,-13.486,17.281,8.22,-0.916,-3.419,-12.423,66.043,-3.365,0.538,-6.003,-62.743,-2.853,-16.615,-4.358,-106.538,3
-12.81,-6.93,-98.075,11.487,-18.255,-7.12,306.996,-10.075,-7.871,-9.598,-14.271,-20.038,-11.765,-5.323,-22.182,13.165,-0.498,-12.186,-13.662,-14.46,62.391,-10.534,-13.295,-20.854,-60.119,-16.683,-20.697,-18.698,-95.161,3
-12.797,-3.849,-97.464,22.747,-17.212,0.572,274.413,4.28,-3.253,-1.904,-8.621,-15.92,-6.63,-5.83,-17.037,12.127,-3.571,-12.174,-13.648,-13.421,66.427,-10.524,-15.843,-26.981,-46.739,-16.154,-19.652,-17.655,-83.283,3
-4.075,2.302,-95.83,26.822,-11.56,8.256,306.927,9.911,3.923,1.684,-1.44,-11.805,3.111,-2.238,-0.626,16.726,2.58,-2.428,2.759,-2.649,66.873,5.88,0.054,-8.511,-42.081,-2.817,-11.435,-6.366,-86.786,3
-2.534,0.763,-99.833,17.062,-6.425,6.198,339.407,3.241,4.944,6.293,2.66,-6.67,6.694,-0.699,0.912,25.418,6.164,3.21,16.076,6.575,69.367,19.707,12.35,10.453,-47.675,5.382,-6.813,0.812,-97.97,3
-5.605,1.787,-95.122,9.36,-2.833,8.754,331.896,5.8,6.476,13.459,5.219,-3.077,9.249,4.425,-3.188,29.491,6.67,2.695,16.06,5.032,75.446,18.15,13.874,8.393,-47.627,10.5,-5.269,7.984,-92.749,3
0.548,10.494,-83.756,12.937,4.855,19.503,303.899,10.917,13.129,15.495,8.287,-0.513,14.875,7.495,5.525,27.413,9.737,3.204,13.995,6.564,73.321,17.108,12.324,4.799,-57.826,15.613,-0.653,9.513,-71.139,3
3.109,10.484,-93.406,23.682,5.875,18.972,285.152,12.443,13.116,15.48,9.304,0,13.835,0.827,8.593,26.873,7.166,0.127,11.419,7.582,68.637,17.603,7.188,6.843,-70.576,12.523,0.372,1.306,-70.555,3
