timestamp,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,gyro_X,gyro_Y,gyro_Z,unknown_1,unknown_2
1970-01-12 13:10:43.086129,1682330168.0836,120.0,0.0,4217.564,4233.333,4084.231,4282.564,4218.974,4171.154,4196.282,4183.718,4186.282,4185.256,4218.077,4841.795,4206.667,4210.513,0.0,0.0
1970-01-12 13:10:43.101067,1682330168.0914,121.0,0.0,4216.923,4226.667,4108.077,4276.41,4210.256,4167.821,4200.897,4184.487,4182.564,4185.256,4216.282,4855.641,4197.949,4196.923,0.0,0.0
1970-01-12 13:10:43.116550,1682330168.0994,122.0,0.0,4212.949,4221.282,4140.128,4266.795,4191.026,4157.564,4197.949,4183.333,4184.744,4185.0,4220.128,4888.462,4187.821,4194.744,0.0,0.0
1970-01-12 13:10:43.116604,1682330168.1072,123.0,0.0,4205.897,4208.333,4163.974,4257.692,4179.359,4144.359,4199.872,4181.923,4181.667,4184.872,4217.821,4918.974,4181.282,4199.744,0.0,0.0
1970-01-12 13:10:43.116633,1682330168.1151,124.0,0.0,4200.897,4194.231,4173.59,4251.795,4176.154,4136.026,4206.154,4182.051,4177.051,4185.256,4217.692,4930.513,4177.436,4199.103,0.0,0.0
1970-01-12 13:10:43.131038,1682330168.1229,125.0,0.0,4199.359,4191.667,4167.179,4245.641,4180.256,4137.051,4204.615,4186.795,4180.128,4185.385,4225.256,4928.718,4178.205,4195.128,0.0,0.0
1970-01-12 13:10:43.146123,1682330168.1308,126.0,0.0,4202.051,4196.154,4151.667,4243.846,4185.513,4140.256,4204.487,4190.128,4185.513,4185.256,4233.333,4922.436,4187.179,4194.872,0.0,0.0
1970-01-12 13:10:43.146171,1682330168.1387,127.0,0.0,4208.462,4202.051,4132.564,4246.154,4188.077,4145.256,4211.026,4190.256,4189.872,4185.385,4233.974,4906.154,4199.744,4197.051,0.0,0.0
1970-01-12 13:10:43.162316,1682330168.1466,0.0,0.0,4212.692,4208.846,4111.154,4245.128,4188.205,4154.231,4211.41,4196.538,4200.385,4185.385,4234.615,4888.846,4213.59,4205.256,0.0,0.0
1970-01-12 13:10:43.162363,1682330168.1545,1.0,0.0,4211.282,4205.513,4110.769,4236.923,4185.385,4155.897,4208.077,4203.333,4202.564,4185.641,4236.667,4893.718,4212.436,4202.692,0.0,0.0
1970-01-12 13:10:43.176316,1682330168.1625,2.0,0.0,4209.231,4194.231,4138.974,4230.0,4184.359,4153.462,4209.231,4194.872,4191.923,4186.41,4234.359,4914.872,4198.077,4185.897,0.0,0.0
1970-01-12 13:10:43.176364,1682330168.1703,3.0,0.0,4204.103,4186.154,4155.256,4225.641,4182.308,4156.026,4210.897,4188.59,4190.0,4186.282,4233.846,4927.051,4194.103,4178.462,0.0,0.0
1970-01-12 13:10:43.191126,1682330168.1783,4.0,0.0,4196.282,4179.615,4158.205,4222.564,4176.667,4156.923,4215.0,4193.333,4192.436,4185.385,4235.641,4931.154,4193.205,4176.282,0.0,0.0
1970-01-12 13:10:43.192939,1682330168.1862,5.0,0.0,4191.795,4171.41,4183.846,4218.59,4170.128,4152.564,4218.077,4189.359,4185.385,4184.744,4234.872,4939.231,4178.846,4154.103,0.0,0.0
1970-01-12 13:10:43.206166,1682330168.1941,6.0,0.0,4190.897,4164.231,4209.872,4215.128,4171.026,4152.308,4218.077,4181.538,4179.744,4185.0,4234.487,4946.41,4163.59,4125.641,0.0,0.0
1970-01-12 13:10:43.206210,1682330168.202,7.0,0.0,4184.872,4154.615,4207.821,4215.0,4174.103,4155.128,4215.769,4185.256,4183.718,4185.641,4233.462,4948.333,4159.744,4114.615,0.0,0.0
1970-01-12 13:10:43.221168,1682330168.2099,8.0,0.0,4177.949,4147.692,4202.692,4215.256,4177.692,4154.487,4216.154,4187.821,4181.538,4185.385,4233.462,4950.0,4158.718,4113.462,0.0,0.0
1970-01-12 13:10:43.221213,1682330168.2178,9.0,0.0,4177.949,4149.615,4216.282,4212.051,4178.846,4155.256,4214.359,4183.846,4173.205,4183.846,4232.821,4962.821,4155.897,4111.923,0.0,0.0
1970-01-12 13:10:43.236638,1682330168.2258,10.0,0.0,4182.051,4156.538,4224.231,4214.872,4176.154,4164.487,4212.051,4182.949,4173.333,4182.821,4232.692,4975.641,4157.692,4115.897,0.0,0.0
1970-01-12 13:10:43.236679,1682330168.2336,11.0,0.0,4188.205,4161.41,4205.641,4217.436,4177.308,4171.154,4202.308,4184.487,4181.667,4183.462,4242.949,4967.436,4171.923,4134.872,0.0,0.0
1970-01-12 13:10:43.251144,1682330168.2414,12.0,0.0,4191.41,4162.821,4178.846,4214.872,4184.744,4167.564,4196.923,4187.564,4186.026,4185.0,4248.846,4943.974,4184.359,4141.41,0.0,0.0
1970-01-12 13:10:43.252891,1682330168.2493,13.0,0.0,4186.282,4159.744,4182.821,4212.179,4186.154,4170.0,4204.744,4186.795,4179.744,4186.154,4240.256,4934.872,4170.641,4120.769,0.0,0.0
1970-01-12 13:10:43.266193,1682330168.257,14.0,0.0,4178.333,4150.513,4211.795,4217.436,4183.462,4181.538,4215.513,4175.128,4171.154,4185.256,4228.59,4940.0,4145.897,4092.436,0.0,0.0
1970-01-12 13:10:43.266227,1682330168.2649,15.0,0.0,4177.308,4143.205,4230.513,4218.205,4183.718,4186.41,4219.872,4166.538,4169.103,4183.846,4226.41,4950.641,4136.667,4079.487,0.0,0.0
1970-01-12 13:10:43.281246,1682330168.2726,16.0,0.0,4176.026,4141.923,4230.769,4215.256,4187.179,4184.359,4216.667,4166.923,4168.333,4184.103,4229.359,4953.462,4133.846,4074.487,0.0,0.0
1970-01-12 13:10:43.281289,1682330168.2805,17.0,0.0,4175.641,4145.385,4225.256,4215.256,4185.128,4183.974,4207.051,4170.256,4170.0,4183.974,4231.282,4948.718,4137.821,4084.744,0.0,0.0
1970-01-12 13:10:43.296348,1682330168.2883,18.0,0.0,4181.026,4151.026,4216.538,4217.436,4184.744,4185.513,4200.897,4170.0,4174.744,4182.564,4231.41,4944.103,4146.154,4102.692,0.0,0.0
1970-01-12 13:10:43.296392,1682330168.2961,19.0,0.0,4184.487,4154.872,4208.59,4216.795,4186.795,4187.692,4202.821,4167.821,4173.846,4183.077,4231.795,4940.385,4148.846,4108.974,0.0,0.0
1970-01-12 13:10:43.311320,1682330168.3039,20.0,0.0,4180.385,4158.718,4203.333,4208.59,4187.564,4186.795,4206.538,4172.821,4175.385,4184.231,4231.538,4935.513,4150.0,4110.897,0.0,0.0
