Cz,Fz,Fp1,F3,C1,C3,T7,C5,CP5,CP3,CP1,P1,P3,O1,CPz,Pz,Oz,O2,P4,P2,CP2,CP4,CP6,C6,T8,C4,C2,F4,Fp2,Label
1.166,-26.73,-319.221,-424.356,0.752,-1.831,69.762,-31.577,-2.708,1.135,-0.601,-2.021,-8.316,-0.39,-9.03,-1.738,43.653,54.005,29.698,5.843,30.653,-6.492,-14.314,-3.791,-104.812,-30.055,-0.272,-51.072,-172.004,2
-3.446,-38.999,-328.123,-435.715,-3.86,-13.612,91.722,-45.378,-18.587,-8.088,-12.896,-11.753,-23.164,-5,-25.415,-16.593,30.29,40.631,13.786,-6.971,19.352,-22.367,-30.694,-20.694,-105.22,-42.321,-10.005,-63.316,-189.763,2
-10.615,-46.644,-332.918,-462.431,-16.664,-26.918,122.368,-64.288,-33.425,-21.4,-26.203,-20.962,-35.436,-20.877,-33.586,-28.359,26.161,31.881,8.649,-11.062,16.258,-27.468,-31.176,-22.722,-123.045,-48.426,-15.118,-70.425,-194.696,2
-4.457,-37.376,-331.048,-453.772,-19.721,-23.817,120.197,-68.834,-26.219,-19.842,-19.005,-16.331,-24.13,-17.27,-20.233,-19.622,32.282,41.583,21.961,-3.879,24.951,-13.608,-20.386,-8.355,-130.095,-36.082,-8.443,-63.182,-184.768,2
-0.866,-30.167,-320.471,-434.875,-15.09,-16.621,87.801,-58.519,-23.632,-13.674,-15.912,-16.314,-21.032,-8.031,-22.262,-19.602,28.152,43.59,19.377,-7.461,23.902,-13.082,-21.903,-4.248,-120.743,-30.411,-7.922,-46.725,-169.214,2
-1.89,-25.526,-299.658,-437.002,-6.366,-17.629,55.438,-46.678,-27.706,-12.636,-19.482,-20.396,-29.208,-7.511,-28.387,-23.169,26.074,38.424,12.698,-11.552,20.804,-16.143,-20.856,-4.244,-110.376,-30.893,-8.427,-29.772,-150.089,2
3.235,-24.988,-296.285,-446.811,-5.335,-26.833,88.17,-57.902,-25.63,-20.308,-18.438,-17.814,-28.667,-9.552,-22.723,-21.609,27.585,37.361,14.222,-9.491,23.345,-15.102,-18.274,0.371,-118.463,-29.837,-4.32,-34.866,-151.988,2
3.232,-38.283,-314.431,-456.61,-18.137,-35.003,120.87,-79.361,-32.264,-28.997,-24.055,-21.895,-33.249,-16.203,-30.898,-28.247,20.898,34.762,5.499,-18.191,18.711,-25.845,-29.014,-7.314,-129.103,-40.566,-10.976,-53.786,-169.767,2
0.155,-41.318,-315.654,-453.08,-21.193,-29.333,88.473,-66.986,-35.305,-24.357,-29.154,-28.021,-37.314,-18.748,-42.65,-32.317,18.315,30.116,-1.679,-23.808,14.081,-34.529,-33.596,-16.016,-107.969,-49.747,-17.625,-51.171,-162.937,2
-1.895,-32.056,-303.043,-434.696,-14.512,-19.057,56.622,-40.791,-18.364,-15.623,-25.026,-23.894,-29.592,-14.119,-37.484,-27.674,21.371,27.525,1.909,-21.223,14.067,-31.42,-28.951,-10.364,-93.004,-46.623,-14.533,-48.558,-152.528,2
-9.065,-44.831,-306.838,-439.384,-25.256,-26.723,89.353,-49.46,-17.833,-22.78,-32.174,-27.457,-34.686,-17.691,-43.082,-35.331,14.689,25.448,-5.266,-28.886,6.368,-38.561,-37.119,-18.039,-124.674,-54.261,-22.715,-72.588,-175.43,2
-16.228,-65.279,-316.265,-463.023,-38.551,-43.602,115.904,-69.903,-39.332,-35.565,-47.511,-38.188,-48.483,-28.431,-55.846,-44.005,9.039,23.373,-16.019,-38.079,-2.347,-51.33,-47.84,-36.464,-150.165,-69.576,-35.5,-84.811,-193.185,2
