Cz,Fz,Fp1,F3,C1,C3,T7,C5,CP5,CP3,CP1,P1,P3,O1,CPz,Pz,Oz,O2,P4,P2,CP2,CP4,CP6,C6,T8,C4,C2,F4,Fp2,Label
13.757,-29.986,-150.879,-101.793,-57.886,-14.048,-59.629,-85.261,-126.1,-49.629,-37.669,-27.535,-67.715,-149.795,-31.75,48.775,-130.274,93.598,3.858,-50.193,-7.701,6.855,-26.97,-54.377,-49.186,-64.187,10.414,-49.282,-105.345,4
17.329,-29.443,-158.925,-90.932,-57.828,-9.936,-51.884,-73.905,-115.216,-47.53,-34.046,-23.409,-62.012,-142.985,-29.669,53.849,-126.045,96.066,7.952,-46.045,-2.571,7.36,-23.356,-48.687,-46.062,-57.975,14.502,-48.208,-98.068,4
11.676,-31.463,-147.495,-88.792,-59.82,-11.975,-63.103,-70.758,-116.125,-48.507,-39.135,-24.923,-67.073,-141.818,-26.054,46.623,-127.456,92.384,3.334,-49.072,-4.105,2.23,-27.432,-47.614,-52.164,-60.479,6.803,-42.524,-107.703,4
11.152,-30.407,-131.466,-92.802,-63.858,-15.037,-74.823,-74.273,-121.644,-54.094,-42.682,-31.045,-71.616,-148.336,-25.515,32.744,-132.964,84.607,-4.867,-57.22,-10.761,-4.432,-34.576,-54.739,-61.846,-65.029,4.235,-37.871,-105.547,4
8.068,-34.987,-122.625,-83.488,-62.77,-23.731,-77.822,-75.736,-125.621,-63.261,-48.787,-39.723,-80.254,-155.872,-34.199,26.564,-138.466,80.936,-7.936,-61.774,-13.824,-5.453,-30.956,-58.27,-60.247,-67.525,7.304,-40.395,-72.653,4
14.207,-19.071,-89.715,-56.764,-48.875,-12.437,-58.277,-59.778,-112.175,-50.39,-40.541,-28.925,-72.489,-137.786,-16.234,36.271,-126.032,99.298,6.417,-48.904,-1.002,11.459,-15.555,-40.281,-30.473,-53.113,17.031,-14.226,-39.793,4
32.636,13.736,-56.838,-29.555,-40.117,11.654,-31.578,-39.226,-91.059,-32.921,-22.057,-7.892,-47.826,-114.594,16.57,48.018,-110.537,116.105,22.292,-34.511,13.343,25.28,-6.831,-16.674,-2.778,-32.568,27.772,18.575,-10.552,4
24.919,11.673,-39.875,-22.865,-53.909,1.397,-45.891,-45.847,-97.628,-45.184,-32.794,-16.593,-53.926,-124.726,15.529,38.236,-123.746,99.083,9.974,-48.821,1.547,5.787,-19.119,-25.879,-20.194,-44.318,18.523,13.434,-15.664,4
-3.795,-15.491,-26.515,-27.453,-66.15,-23.708,-62.752,-57.072,-112.899,-63.582,-56.327,-38.093,-77.438,-141.507,-9.59,16.681,-140.529,76.442,-13.09,-72.851,-23.558,-17.785,-36.006,-53.006,-49.375,-73.475,0.574,-13.22,8.43,4
-9.939,-19.062,6.299,-32.037,-61.986,-20.61,-32.975,-45.744,-106.126,-61.469,-53.709,-37.031,-72.237,-134.193,-6.506,8.98,-131.679,84.051,-13.076,-72.778,-27.12,-15.206,-36.483,-58.588,-41.129,-79.037,-1.988,-14.743,41.209,4
-4.806,-14.432,6.805,-35.078,-62.948,-17.004,-22.696,-40.063,-96.799,-58.846,-48.532,-32.895,-64.993,-123.3,1.697,8.971,-120.277,103.434,-8.965,-67.07,-21.97,-16.215,-30.811,-51.357,-29.817,-74.348,-3.011,-11.142,39.119,4
-6.338,-20.053,-19.329,-25.822,-68.008,-23.647,-49.313,-47.195,-99.776,-64.422,-57.705,-40.547,-77.736,-118.566,-1.379,3.326,-121.181,106.917,-17.153,-74.687,-26.559,-26.445,-36.415,-51.818,-49.255,-78.884,-9.668,-21.377,17.05,4
-6.844,-22.082,-25.457,-15.038,-66.403,-22.598,-45.678,-44.074,-103.774,-68.969,-60.722,-44.605,-82.269,-115.886,7.332,-4.362,-121.06,96.564,-19.697,-80.76,-29.094,-23.857,-40.99,-54.328,-60.988,-80.342,-4.535,-30.065,4.738,4
-11.448,-31.794,-47.461,-29.367,-69.411,-27.187,-42.558,-44.03,-106.744,-72.998,-61.685,-47.122,-81.162,-120.381,13.985,-7.943,-121.963,89.807,-19.165,-83.241,-31.627,-21.784,-39.412,-57.86,-51.706,-79.237,-2.481,-29.011,-27.542,4
-19.121,-47.643,-79.689,-47.781,-76.001,-37.918,-74.791,-51.158,-104.588,-73.438,-64.698,-49.636,-85.179,-120.773,10.897,-9.472,-122.354,98.427,-23.757,-85.719,-36.718,-28.422,-38.86,-60.876,-47.556,-82.744,-13.75,-28.469,-59.79,4
-10.905,-42.985,-98.565,-39.536,-69.778,-30.195,-77.79,-41.373,-90.651,-64.143,-54.387,-36.779,-73.311,-100.672,26.255,-2.803,-106.35,114.21,-12.975,-74.363,-26.947,-19.172,-30.112,-46.47,-39.823,-74.464,-10.15,-29.465,-61.779,4
