Cz,Fz,Fp1,F3,C1,C3,T7,C5,CP5,CP3,CP1,P1,P3,O1,CPz,Pz,Oz,O2,P4,P2,CP2,CP4,CP6,C6,T8,C4,C2,F4,Fp2,Label
-17.699,-35.219,-97.755,-36.103,-22.378,-18.982,-105.424,-32.443,-17.562,-14.606,-19.172,-16.437,-23.616,-18.538,-11.665,-4.476,-12.979,-2.133,-21.272,-11.163,-57.041,-24.317,-15.217,-17.104,54.677,-18.875,-120.599,-16.22,-131.078,4
-11.533,-34.672,-98.682,-29.919,-15.695,-13.84,-137.594,-25.239,-17.544,-13.567,-16.591,-16.421,-22.568,-16.47,-2.945,-1.398,-11.429,-3.668,-23.812,-6.541,-56.984,-24.292,-16.739,-15.038,34.13,-22.442,-119.453,-18.254,-117.627,4
-8.448,-37.199,-103.194,-33.987,-4.921,-15.363,-104.669,-38.021,-18.039,-12.528,-14.525,-17.429,-18.959,-10.819,8.329,1.165,-11.93,-6.738,-26.35,-10.121,-62.562,-27.854,-23.382,-19.633,3.87,-23.957,-122.408,-18.235,-107.264,4
-12.538,-38.698,-109.239,-40.614,-16.187,-23.544,-83.56,-49.254,-22.12,-14.053,-17.073,-16.899,-20.989,-18.492,0.124,-7.545,-17.553,-11.342,-25.299,-15.746,-64.549,-33.974,-28.482,-30.372,18.211,-27.007,-120.236,-24.365,-124.062,4
-2.279,-31.487,-96.322,-25.716,-14.634,-7.639,-115.752,-17.442,-7.753,1.33,-6.297,-7.148,-5.599,-8.228,-0.389,4.758,-6.265,-0.06,-13.491,0.663,-53.213,-17.034,-14.109,-15.997,37.148,-14.172,-109.357,-13.07,-127.012,4
10.531,-25.82,-81.881,-16.981,6.898,8.762,-136.128,4.605,6.087,12.6,2.419,-0.481,7.727,12.273,10.883,17.048,7.061,12.236,-3.231,10.909,-49.062,-0.623,0.762,4.511,35.574,2.236,-105.15,0.776,-115.102,4
2.836,-30.405,-85.385,-32.333,2.28,-8.153,-103.204,-23.064,-7.751,-2.782,-10.392,-11.239,-8.163,3.551,1.138,-2.949,-4.217,2.49,-12.962,-7.545,-62.333,-18.553,-9.485,-3.178,34.001,-7.5,-112.729,-4.86,-113.962,4
-9.975,-36.01,-89.911,-45.621,-24.362,-27.612,-70.313,-48.144,-24.137,-18.661,-25.238,-23.523,-25.573,-13.871,-18.843,-17.29,-18.045,-14.419,-29.342,-20.345,-74.566,-36.978,-25.357,-18.544,48.824,-25.423,-121.326,-12.54,-112.824,4
-8.94,-34.95,-90.845,-45.063,-25.363,-24.511,-100.469,-42.461,-22.576,-20.179,-23.676,-19.914,-24.523,-13.345,-19.849,-10.613,-15.978,-13.892,-28.288,-11.103,-71.93,-27.207,-21.233,-19.55,59.534,-23.349,-121.717,-13.552,-110.662,4
6.95,-22.619,-90.242,-32.21,-1.771,-9.117,-132.644,-23.975,-11.283,-7.351,-5.721,-6.061,-10.153,-1.548,0.663,-2.918,-3.154,3.54,-8.793,5.302,-55.464,-8.736,-6.867,-3.649,44.105,-5.907,-108.275,-5.854,-109.527,4
