Cz,Fz,Fp1,F3,C1,C3,T7,C5,CP5,CP3,CP1,P1,P3,O1,CPz,Pz,Oz,O2,P4,P2,CP2,CP4,CP6,C6,T8,C4,C2,F4,Fp2,Label
22.689,-15.294,109.315,-8.456,10.538,54.09,-15.741,-2.653,-1.18,-6.311,5.105,-12.298,-16.348,-14.302,25.941,-34.226,2.455,-48.971,-14.769,24.114,-36.324,-27.976,-20.904,-27.536,-33.562,-16.592,36.058,-8.4,69.231,4
19.08,-21.426,117.915,-15.108,-1.255,43.278,-9.065,-34.926,-18.085,-18.6,-2.072,-15.36,-17.356,-18.898,20.28,-32.143,2.453,-44.823,-14.242,25.114,-41.411,-31.534,-24.47,-24.947,-35.066,-19.65,33.46,-14.027,69.162,4
20.085,-22.429,119.334,-17.654,-9.963,46.308,-32.11,-51.797,-27.288,-27.291,-3.095,-15.344,-19.9,-18.367,22.309,-31.086,6.549,-37.094,-11.154,26.626,-43.931,-26.38,-22.908,-23.897,-32.981,-19.63,37.525,-11.964,71.142,4
31.336,-11.136,122.801,-8.415,-1.244,50.873,-48.984,-31.253,-23.162,-18.042,4.593,-2.521,-12.196,-6.053,34.07,-14.661,18.325,-23.737,0.128,37.87,-34.153,-11.496,-5.979,-7.48,-15.018,-5.778,51.832,3.417,81.317,4
42.575,2.707,140.096,9.524,9.003,53.383,-36.64,-17.902,-17.504,-12.389,13.81,8.752,-1.937,12.396,41.72,2.772,29.065,-9.881,8.325,49.103,-26.434,-2.263,8.884,11.996,2.928,9.085,64.588,15.709,94.044,4
42.021,6.291,150.715,21.297,8.482,64.088,-23.795,-22.495,-12.363,-15.962,14.821,5.669,-5.522,14.433,41.166,-1.329,22.888,-11.92,1.144,41.882,-31.531,-6.359,3.239,7.885,-1.173,6.514,65.548,17.23,98.048,4
27.634,-4.986,138.269,13.592,-2.285,60.95,-18.649,-30.669,-22.085,-23.119,-0.051,-9.193,-18.836,-7.611,29.854,-22.845,0.836,-33.425,-12.177,28.008,-41.745,-16.599,-14.695,-11.59,-22.177,-8.862,52.675,1.844,77.97,4
17.872,-13.178,128.397,8.967,-14.066,49.619,-14.019,-31.151,-33.333,-27.706,-4.662,-15.844,-22.916,-25.022,22.14,-31.019,-7.874,-39.539,-8.579,30.541,-45.802,-16.07,-15.705,-18.239,-32.401,-12.439,41.864,-13.015,57.912,4
20.416,-11.116,129.293,21.766,-11.49,59.303,-17.079,-14.726,-17.419,-16.408,10.2,-7.631,-13.671,-21.923,28.778,-20.229,1.868,-19.52,7.311,39.732,-42.17,-6.32,-0.832,-15.659,-25.196,-7.816,46.945,-9.928,61.953,4
20.908,-17.252,117.38,20.72,-6.356,69.49,-17.062,-5.49,-2.544,-2.559,12.239,-7.111,-7.51,-15.241,29.261,-21.234,-2.745,-14.889,8.329,36.106,-43.153,-4.265,1.73,-16.668,-23.634,-12.419,49.46,-9.918,55.231,4
18.326,-26.969,99.332,0.207,-10.448,62.248,-10.385,-21.878,-12.788,-6.143,1.981,-16.838,-12.113,-19.837,22.572,-34.02,-19.648,-28.707,0.636,31.972,-50.794,-8.359,-4.419,-16.651,-30.27,-14.456,44.287,-16.568,33.659,4
18.82,-24.38,89.499,-6.966,-13.511,60.136,-14.985,-26.467,-13.8,-10.748,4.028,-17.334,-16.2,-30.063,26.136,-35.523,-22.702,-27.141,-0.902,32.964,-52.793,-11.425,-3.902,-14.073,-26.142,-8.293,45.268,-10.404,30.551,4
16.751,-25.893,73.016,-3.885,-12.985,62.638,-23.167,-3.899,-4.052,-7.663,6.073,-14.755,-14.134,-36.693,27.646,-31.901,-21.143,-22.503,-7.049,27.808,-52.227,-18.073,-11.071,-21.231,-22.017,-12.896,46.247,-12.443,27.447,4
18.272,-32.527,52.963,-5.931,-10.411,60.526,-16.996,-0.309,-9.683,-9.704,2.993,-15.765,-14.12,-35.631,23.008,-32.894,-25.732,-26.579,-16.775,24.194,-58.323,-27.277,-23.355,-33.506,-32.753,-20.568,42.102,-26.262,5.39,4
27.987,-25.322,45.225,-6.949,1.895,62.515,-6.221,-21.825,-11.211,-9.182,10.162,-6.527,-13.594,-26.887,28.108,-26.201,-23.145,-22.454,-15.734,30.83,-57.752,-27.762,-24.356,-31.935,-39.893,-15.936,47.695,-25.212,-1.788,4
35.132,-18.125,38.008,-10.528,10.09,65.014,-11.338,-22.828,-4.539,-4.05,19.374,3.213,-7.945,-18.15,38.838,-13.88,-18.511,-16.796,-10.083,34.898,-46.424,-19.025,-19.209,-21.145,-34.218,-11.31,58.406,-17.502,3.849,4
40.732,-21.18,27.211,-11.542,7.518,64.436,-35.405,-9.485,-8.121,-4.046,24.99,6.796,0.26,-11.985,45.972,-2.595,-17.468,-13.706,-3.925,40.498,-37.156,-6.71,-12.017,-14.976,-23.937,-5.151,68.082,-16.972,-2.302,4
48.888,-18.598,22.573,-2.309,10.585,69.495,-56.886,-17.673,-6.576,-0.456,31.625,16.011,4.359,-5.825,53.61,9.703,-10.79,2.189,7.35,51.728,-30.459,4.567,-3.296,-9.326,-13.155,9.712,77.235,-10.295,-8.96,4
