Cz,Fz,Fp1,F3,C1,C3,T7,C5,CP5,CP3,CP1,P1,P3,O1,CPz,Pz,Oz,O2,P4,P2,CP2,CP4,CP6,C6,T8,C4,C2,F4,Fp2,Label
6.75,-5.72,-170.364,-33.887,72.399,4.269,-87.792,85.409,3.35,-3.306,16.328,7.357,7.54,-3.517,22.513,-17.108,11.538,15.49,-5.364,3.25,32.752,12.353,22.017,1.35,-169.255,7.924,26.791,-12.35,-13.553,0
-5.552,-5.202,-169.682,-23.607,53.883,5.802,-97.438,89.422,-0.239,-4.327,15.287,0.178,2.41,-8.124,8.146,-20.165,4.867,6.766,-10.994,-3.926,27.596,4.656,11.237,-11.971,-157.815,2.793,23.178,-14.899,-26.348,0
-11.695,-9.296,-180.783,-28.706,52.805,-3.426,-64.553,67.816,-12.022,-14.569,4.514,-7.507,-7.839,2.642,-4.67,-24.756,-0.261,3.173,-21.229,-13.143,25.007,-4.57,4.053,-30.402,-124.869,-9.505,18.544,-20.519,-43.227,0
1.125,-3.139,-176.504,-37.899,65.047,-4.959,-31.701,56.989,-11.498,-14.042,9.12,0.185,-4.757,2.64,12.241,-24.219,0.251,1.633,-19.671,-4.933,29.593,0.557,9.685,-21.663,-137.552,-4.885,22.111,-10.253,-13.983,0
13.931,5.062,-168.13,-32.738,64.47,0.681,-63.945,64.105,-5.338,-2.757,21.918,6.845,2.932,-2.486,26.573,-14.973,5.886,1.631,-10.43,3.781,34.174,13.364,14.286,-6.272,-169.69,7.928,33.36,5.639,6.011,0
11.356,14.278,-160.277,-15.799,64.918,15.537,-96.156,86.582,2.352,8.004,28.556,10.424,13.175,5.201,22.961,-3.175,16.639,18.023,3.413,8.9,39.775,26.159,23.493,5.005,-175.668,20.727,43.573,16.392,-12.438,0
8.783,16.313,-149.871,-9.636,69.976,23.719,-124.749,99.815,6.448,6.971,25.966,10.926,15.211,8.27,17.302,-7.27,15.085,27.739,4.947,11.453,37.174,25.62,26.031,7.049,-148.852,20.707,38.919,7.666,-16.011,0
12.36,-1.122,-162.529,-25.508,60.172,5.764,-91.837,73.588,-4.829,-6.356,14.157,-0.868,-0.685,-6.083,8.064,-24.169,-0.811,7.219,-9.915,-0.854,25.866,8.176,11.148,-8.327,-147.166,1.73,27.097,-16.42,-11.385,0
8.762,-8.805,-183.883,-37.265,50.89,-9.098,-58.957,49.948,-11.997,-14.034,6.971,-8.04,-7.345,-12.225,-0.654,-28.756,-2.347,-7.133,-14.004,-9.562,24.303,0.996,7.551,-14.979,-140.359,-4.419,27.582,-14.354,-29.816,0
5.167,1.962,-171.916,-28.519,60.061,1.669,-91.173,72.952,-6.862,-9.409,13.624,0.165,-1.19,0.083,6.007,-22.579,7.901,7.731,-5.793,0.181,29.402,11.241,22.4,-0.619,-109.48,9.418,32.165,8.202,-31.836,0
13.871,4.522,-154.326,-20.293,67.173,11.401,-123.358,97.982,-4.293,-3.252,21.295,1.702,-3.75,8.28,20.345,-21.532,9.943,14.384,-7.324,4.792,28.86,14.816,23.402,1.943,-103.223,10.945,31.62,4.607,-8.75,0
16.419,1.443,-162.368,-29.495,61.983,8.316,-90.447,87.126,-2.752,-2.737,20.249,-1.886,-5.796,0.074,22.887,-23.047,7.883,7.197,-8.854,-0.336,28.319,8.653,13.645,-6.768,-132.321,3.762,32.101,-6.668,-12.328,0
4.619,-1.12,-168.866,-38.174,59.36,-1.426,-57.569,62.448,-5.823,-9.906,15.618,1.19,-3.741,-9.147,12.105,-27.635,5.826,8.214,-7.308,-1.873,26.754,4.034,9.021,-10.347,-157.292,2.221,25.921,-4.612,-36.906,0
1.028,-9.828,-168.185,-37.624,56.739,-11.671,-26.26,47.016,-17.088,-18.093,12.016,-1.885,-9.372,-4.015,5.433,-32.73,5.82,11.792,-12.424,-5.457,23.653,0.956,8.499,-15.46,-157.647,-2.904,18.723,-12.805,-34.308,0
13.323,-5.72,-171.603,-36.049,53.096,-9.098,-29.308,53.117,-12.973,-11.927,14.053,-2.395,-5.264,12.383,10.551,-23.989,16.573,15.367,-8.825,-2.89,30.802,6.59,12.589,-14.42,-144.682,-0.339,27.414,-18.427,-11.732,0
16.383,6.069,-167.845,-35.501,60.215,5.256,-61.554,78.167,0.873,0.38,22.749,8.365,7.549,19.543,13.614,-12.694,24.241,24.06,2.967,8.896,41.529,15.293,17.7,-4.672,-143,10.932,34.559,-6.626,-10.695,0
4.072,-4.695,-168.19,-33.929,66.303,9.349,-93.768,88.335,-3.227,-1.67,24.263,8.357,2.93,12.351,14.625,-17.804,16.02,24.549,-0.11,6.325,40.976,12.204,13.584,-8.253,-154.128,5.798,26.327,-6.619,-34.251,0
