Cz,Fz,Fp1,F3,C1,C3,T7,C5,CP5,CP3,CP1,P1,P3,O1,CPz,Pz,Oz,O2,P4,P2,CP2,CP4,CP6,C6,T8,C4,C2,F4,Fp2,Label
7.227,-12.431,-119.257,-3.467,11.719,18.936,700.149,154.105,20.253,20.018,14.13,8.167,2.561,1.517,-0.314,3.81,19.753,15.7,8.21,5.435,-124.83,-5.265,-15.591,4.832,49.222,-4.92,5.135,-57.033,-137.642,1
-2.514,-18.566,-127.847,-16.784,-2.125,9.183,667.174,144.73,14.598,13.338,5.407,3.036,-1.54,-0.022,-6.462,-3.366,14.61,6.463,5.128,-0.205,-131.877,-11.92,-21.723,-8.493,64.03,-16.186,-0.505,-61.074,-145.701,1
6.71,-17.523,-133.866,-8.058,4.537,17.883,634.231,168.663,24.317,20.497,3.865,5.595,0.511,-2.583,-1.844,0.223,11.009,3.895,5.635,5.942,-126.622,-5.76,-18.627,-4.898,41.937,-12.071,0.52,-54.353,-138.895,1
6.703,-21.604,-132.708,-9.587,5.557,11.718,666.385,160.81,13.534,12.28,-1.262,-3.632,-10.248,-17.438,-7.99,-6.949,0.24,-7.892,-4.616,-4.31,-133.156,-13.439,-25.781,-4.893,24.476,-16.67,-6.653,-66.082,-141.318,1
-4.062,-27.73,-135.649,-23.409,-3.67,-3.663,698.506,134.522,-0.824,-2.59,-8.946,-10.801,-22.533,-20.494,-16.179,-16.676,-6.42,-16.593,-14.346,-14.039,-139.683,-23.672,-31.391,-14.622,20.866,-24.85,-12.794,-77.287,-150.91,1
10.286,-3.112,-123.218,-3.918,16.314,28.104,665.532,167.175,28.378,27.127,14.117,12.263,0.543,1.556,4.842,4.345,12.541,3.916,5.136,10.566,-119.563,2.48,-10.867,8.446,46.973,0.278,5.15,-44.422,-136.415,1
25.645,20.458,-103.627,19.139,35.253,54.715,666.404,198.258,50.379,51.691,36.645,25.571,23.084,13.85,24.817,21.759,28.41,24.916,24.599,27.974,-108.685,22.457,0.927,33.028,68.955,22.307,18.977,-20.811,-110.663,1
7.177,-7.74,-122.479,-8.032,8.066,22.385,698.525,165.785,18.053,19.363,7.919,0.955,-1.017,-6.144,2.763,-2.853,14.037,7.985,5.107,4.379,-130.093,-4.205,-21.103,6.355,43.783,-1.282,-1.022,-53.066,-126.434,1
-9.737,-35.396,-150.021,-37.226,-18.582,-8.888,680.408,133.344,-9.117,-9.345,-18.729,-15.44,-27.144,-22.532,-22.855,-22.83,-0.834,-13.54,-16.415,-15.605,-142.771,-25.206,-37.476,-20.291,28.882,-26.383,-18.952,-77.091,-158.583,1
6.667,-14.356,-129.891,-16.696,0.391,22.372,647.452,165.998,20.094,19.866,3.831,1.482,-10.723,-7.653,-7.976,-5.901,9.926,0.306,-0.517,-2.269,-128.283,-9.299,-23.606,-0.803,51.395,-12.525,-5.101,-59.083,-141.518,1
28.177,7.687,-101.584,9.961,26.519,48.477,650.903,198.62,45.177,41.363,26.881,18.386,13.879,7.724,18.672,12.035,25.797,21.823,21.512,17.201,-112.274,10.178,-6.676,24.301,59.028,12.591,12.323,-42.118,-112.175,1
25.075,1.532,-109.167,3.291,23.931,39.207,683.04,180.49,32.836,32.612,18.657,15.806,9.254,1.569,14.043,9.462,25.259,17.19,20.979,18.72,-109.6,12.217,-5.645,24.789,49.235,16.164,10.261,-43.1,-123.334,1
9.681,-10.765,-124.94,-11.057,7.513,25.336,686.968,159.305,14.872,23.358,5.831,6.057,-7.662,-4.068,-5.951,0.743,13.963,3.853,10.199,5.382,-117.175,4.008,-12.812,16.567,46.624,2.828,0.517,-53.816,-134.481,1
7.11,-19.464,-129.425,-13.095,1.87,18.138,677.571,147.363,13.321,18.724,3.776,3.489,-9.191,-2.527,-6.97,-2.332,9.338,1.8,6.09,1.278,-121.156,0.418,-13.824,12.964,54.775,-3.835,-3.069,-62.984,-129.224,1
13.762,-18.932,-125.71,-15.132,8.528,22.731,644.619,161.56,24.578,22.291,9.92,8.096,1.577,-3.549,3.283,1.769,14.964,5.384,12.744,11.01,-115.399,8.614,-7.15,15.513,68.04,2.317,1.544,-53.187,-133.705,1
13.236,-11.741,-116.875,-13.579,11.593,32.442,664.979,177.28,33.263,29.954,13.496,9.113,1.063,-2.521,0.718,2.28,16.486,6.916,12.732,10.487,-114.259,8.606,-6.63,18.059,55.164,4.876,2.568,-38.789,-137.67,1
8.612,-15.315,-121.369,-6.394,5.947,26.262,697.101,155.586,28.106,23.776,6.31,3.981,-8.16,0.555,-8.504,-4.382,11.859,4.86,2.473,0.743,-118.244,-2.162,-13.796,13.43,37.178,-2.301,-3.07,-47.972,-137.532,1
